MI:0004  affinity chromatography technology
MI:0006  anti bait coimmunoprecipitation
MI:0007  anti tag coimmunoprecipitation
MI:0008  array technology
MI:0010  beta galactosidase complementation
MI:0011  beta lactamase complementation
MI:0012  bioluminescence resonance energy transfer
MI:0014  adenylate cyclase complementation
MI:0016  circular dichroism
MI:0017  classical fluorescence spectroscopy
MI:0018  two hybrid
MI:0019  coimmunoprecipitation
MI:0020  transmission electron microscopy
MI:0027  cosedimentation
MI:0028  cosedimentation in solution
MI:0029  cosedimentation through density gradient
MI:0030  cross-linking study
MI:0031  protein cross-linking with a bifunctional reagent
MI:0038  dynamic light scattering
MI:0040  electron microscopy
MI:0042  electron paramagnetic resonance
MI:0047  far western blotting
MI:0048  filamentous phage display
MI:0049  filter binding
MI:0051  fluorescence technology
MI:0052  fluorescence correlation spectroscopy
MI:0053  fluorescence polarization spectroscopy
MI:0054  fluorescence-activated cell sorting
MI:0055  fluorescent resonance energy transfer
MI:0065  isothermal titration calorimetry
MI:0066  lambda phage display
MI:0067  light scattering
MI:0069  mass spectrometry studies of complexes
MI:0071  molecular sieving
MI:0077  nuclear magnetic resonance
MI:0081  peptide array
MI:0084  phage display
MI:0089  protein array
MI:0091  chromatography technology
MI:0096  pull down
MI:0097  reverse ras recruitment system
MI:0099  scintillation proximity assay
MI:0104  static light scattering
MI:0107  surface plasmon resonance
MI:0108  t7 phage display
MI:0111  dihydrofolate reductase reconstruction
MI:0112  ubiquitin reconstruction
MI:0114  x-ray crystallography
MI:0115  yeast display
MI:0226  ion exchange chromatography
MI:0227  reverse phase chromatography
MI:0231  mammalian protein protein interaction trap
MI:0254  genetic interference
MI:0276  blue native page
MI:0369  lex-a dimerization assay
MI:0370  tox-r dimerization assay
MI:0397  two hybrid array
MI:0398  two hybrid pooling approach
MI:0399  two hybrid fragment pooling approach
MI:0402  chromatin immunoprecipitation assay
MI:0404  comigration in non denaturing gel electrophoresis
MI:0405  competition binding
MI:0406  deacetylase assay
MI:0410  electron tomography
MI:0411  enzyme linked immunosorbent assay
MI:0412  electrophoretic mobility supershift assay
MI:0413  electrophoretic mobility shift assay
MI:0415  enzymatic study
MI:0416  fluorescence microscopy
MI:0417  footprinting
MI:0419  gtpase assay
MI:0420  kinase homogeneous time resolved fluorescence
MI:0423  in-gel kinase assay
MI:0424  protein kinase assay
MI:0426  light microscopy
MI:0428  imaging technique
MI:0432  one hybrid
MI:0434  phosphatase assay
MI:0435  protease assay
MI:0437  protein three hybrid
MI:0440  saturation binding
MI:0510  homogeneous time resolved fluorescence
MI:0515  methyltransferase assay
MI:0516  methyltransferase radiometric assay
MI:0588  three hybrid
MI:0605  enzymatic footprinting
MI:0655  lambda repressor two hybrid
MI:0657  systematic evolution of ligands by exponential enrichment
MI:0663  confocal microscopy
MI:0676  tandem affinity purification
MI:0678  antibody array
MI:0697  dna directed dna polymerase assay
MI:0700  rna directed rna polymerase assay
MI:0726  reverse two hybrid
MI:0728  gal4 vp16 complementation
MI:0729  luminescence based mammalian interactome mapping
MI:0807  comigration in gel electrophoresis
MI:0808  comigration in sds page
MI:0809  bimolecular fluorescence complementation
MI:0825  x-ray fiber diffraction
MI:0826  x ray scattering
MI:0841  phosphotransferase assay
MI:0858  immunodepleted coimmunoprecipitation
MI:0859  intermolecular force
MI:0870  demethylase assay
MI:0872  atomic force microscopy
MI:0880  atpase assay
MI:0889  acetylase assay
MI:0892  solid phase assay
MI:0920  ribonuclease assay
